0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book3.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book2.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:17 +0530] "GET /MyProject/images/book4.jpg HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:18:31 +0530] "GET /MyProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:20:00 +0530] "GET /MyProject/userLogin.jsp HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [26/Nov/2019:22:20:00 +0530] "GET /MyProject/images/profile.jpg HTTP/1.1" 404 1110
